Mihkel Järviste, 2000, poolkaitsja, JK Tammeka, 2, 10
Oliver Rass, 2000, poolkaitsja, FC Kuressaare, 2, 6
Sander Seeman, 1992, poolkaitsja, FC Kuressaare, 0, 10
Silver Alex Kelder, 1995, poolkaitsja, FC Kuressaare, 2, 11
Märten Pajunurm, 1993, kaitsja, FC Kuressaare, 5, 27
Sander Laht, 1991, ründaja, FC Kuressaare, 9, 26
Mattias Männilaan, 2001, ründaja, FC Kuressaare, 14, 27
Rasmus Saar, 2000, kaitsja, FC Kuressaare, 6, 87
Pavel Londak, 1980, väravavaht, JK Legion, 0, 39
Andrei Sidorenkov, 1984, kaitsja, JK Legion, 0, 3
Artjom Artjunin, 1990, kaitsja, JK Legion, 2, 5
Marek Šatov, 1993, poolkaitsja, JK Legion, 5, 9
Nikita Andreev, 1988, ründaja, JK Legion, 10, 11
Maksim Gussev, 1994, poolkaitsja, JK Legion, 2, 29
Dmirti Kovtunovitš, 1991, kaitsja, JK Legion, 3, 27
Nikolay Mashichev, 1988, kaitsja, JK Legion, 1, 33
Artur Šarnin, 2000, poolkaitsja, JK Legion, 0, 77
Denis Vnukov, 1991, poolkaitsja, JK Legion, 3, 7
Jevgeni Baranov, 2000, kaitsja, JK Legion, 0, 88
Karl Andre Vallner, 1998, väravavaht, JK Tallinna Kalev, 0, 99
Daniil Sõtšugov, 2003, kaitsja, JK Tallinna Kalev, 0, 2
Markus Allast, 2000, kaitsja, JK Tallinna Kalev, 0, 3
Reinhard Reimaa, 1998, kaitsja, JK Tallinna Kalev, 2, 7
Hannes Anier, 1993, ründaja, JK Tallinna Kalev, 9, 8
Markus Vaherna, 1999, poolkaitsja, JK Tallinna Kalev, 3, 9
Murad Velijev, 2002, poolkaitsja, JK Tallinna Kalev, 4, 10
Dominik Ivkic, 1997, kaitsja, JK Tallinna Kalev, 1, 19
Pavel Dõmov, 1993, poolkaitsja, JK Tallinna Kalev, 1, 20
Marek Kaljumäe, 1991, poolkaitsja, JK Tallinna Kalev, 7, 26
Tanel Tamberg, 1992, poolkaitsja, JK Tallinna Kalev, 2, 29
Kaspar Paur, 1995, poolkaitsja, Nõmme Kalju FC, 7, 43
Aleksandr Volkov, 1994, ründaja, Nõmme Kalju FC, 9, 20
Andriy Markovich, 1995, kaitsja, Nõmme Kalju FC, 0, 26
Marko Meerits, 1992, väravavaht, Nõmme Kalju FC, 0, 1
Amir Natkho, 1996, poolkaitsja, Nõmme Kalju FC, 3, 7
Igor Subbotin, 1990, poolkaitsja, Nõmme Kalju FC, 5, 15
Vladyslav Khomutov, 1998, ründaja, Nõmme Kalju FC, 9, 8
Aleksandr Kulinitš, 1992, kaitsja, Nõmme Kalju FC, 1, 2
Kaarel Usta, 1999, poolkaitsja, Nõmme Kalju FC, 3, 22
Sander Puri, 1988, poolkaitsja, Nõmme Kalju FC, 4, 27
Chinedu Charles Geoffrey, 1997, ründaja, JK Narva Trans, 7, 99
Aleksandr Ivanjusin, 1995, kaitsja, JK Narva Trans, 0, 4
Aleksandr Zakarliuka, 1995, poolkaitsja, JK Narva Trans, 8, 10
Bi Sehi Elysee Irie, 1989, poolkaitsja, JK Narva Trans, 1, 19
Nikita Mihhailov, 2002, poolkaitsja, JK Narva Trans, 2, 13
Martin Käos, 1998, kaitsja, JK Narva Trans, 0, 23
Roman Sobtšenko, 1994, poolkaitsja, JK Narva Trans, 3, 18
Viktor Plotnikov, 1989, ründaja, JK Narva Trans, 0, 21
Aleksei Matrossov, 1991, väravavaht, JK Narva Trans, 0, 88
Ofosu Appiah, 1989, kaitsja, JK Narva Trans, 1, 12
Romand Nesterovski, 1989, kaitsja, JK Narva Trans, 1, 5
Nikita Komissarov, 2000, ründaja, Viljandi JK Tulevik, 2, 10
Karl-Romet Nõmm, 1998, väravavaht, Viljandi JK Tulevik, 0, 1
Sander Kapper, 1994, ründaja, Viljandi JK Tulevik, 3, 17
Pavel Marin, 1995, ründaja, Viljandi JK Tulevik, 11, 79
Gerdo Juhkam, 1994, kaitsja, Viljandi JK Tulevik, 0, 4
Kaimar Saag, 1988, ründaja, Viljandi JK Tulevik, 3, 11
Herol Riiberg, 1997, ründaja, Viljandi JK Tulevik, 4, 8
Kristjan Kask, 1999, poolkaitsja, Viljandi JK Tulevik, 4, 9
Tanel Lang, 1995, poolkaitsja, Viljandi JK Tulevik, 1, 15
Marco Budic, 2000, kaitsja, Viljandi JK Tulevik, 0, 5
Alex Roosalu, 1999, kaitsja, Viljandi JK Tulevik, 0, 6
